iter	MultiClass
0	2.851532499
1	2.820861143
2	2.791822062
3	2.765252232
4	2.739963467
5	2.718436875
6	2.696973339
7	2.678891303
8	2.661639777
9	2.644086803
10	2.628331019
11	2.613661024
12	2.59999921
13	2.586366138
14	2.573343509
15	2.561688893
16	2.548932859
17	2.537678498
18	2.525922381
19	2.51565051
20	2.504383932
21	2.494982811
22	2.484433745
23	2.474332179
24	2.463259441
25	2.453568908
26	2.443192662
27	2.434147782
28	2.424417368
29	2.417256449
30	2.4085114
31	2.398754937
32	2.390865188
33	2.382510693
34	2.373329999
35	2.365589178
36	2.358466703
37	2.349788483
38	2.341016667
39	2.333046437
40	2.325322862
41	2.318425665
42	2.310640831
43	2.303526799
44	2.296062276
45	2.28877219
46	2.281240658
47	2.273388636
48	2.265995433
49	2.258819782
50	2.251694613
51	2.245514208
52	2.239138167
53	2.233087827
54	2.227411693
55	2.220960021
56	2.214191092
57	2.206852681
58	2.200943364
59	2.194270007
60	2.188800287
61	2.184207605
62	2.178084148
63	2.171763439
64	2.164866601
65	2.158700748
66	2.151175324
67	2.144957733
68	2.139579453
69	2.132810524
70	2.126432867
71	2.119989458
72	2.114072776
73	2.107901174
74	2.101914609
75	2.095255983
76	2.089498109
77	2.08128751
78	2.074225936
79	2.068949876
80	2.062086811
81	2.055432856
82	2.047929529
83	2.039939538
84	2.03326169
85	2.025689019
86	2.018426419
87	2.011505868
88	2.005033537
89	1.998282213
90	1.993347842
91	1.986869941
92	1.980696183
93	1.973718325
94	1.967065448
95	1.961739086
96	1.955463648
97	1.948215061
98	1.942437246
99	1.935312615
100	1.927537661
101	1.921311985
102	1.914980138
103	1.908457506
104	1.902286802
105	1.896355209
106	1.889283035
107	1.883409109
108	1.877450029
109	1.871572869
110	1.866110874
111	1.861981861
112	1.856583821
113	1.850260237
114	1.844653985
115	1.838836288
116	1.833143985
117	1.827275807
118	1.820280163
119	1.814576363
120	1.809335873
121	1.804114066
122	1.799387726
123	1.794728575
124	1.789134359
125	1.784690964
126	1.778693979
127	1.772675975
128	1.767882447
129	1.76449951
130	1.759100391
131	1.754406388
132	1.74957747
133	1.745076048
134	1.740298689
135	1.735041851
136	1.730059693
137	1.724745009
138	1.719947708
139	1.715111245
140	1.710150465
141	1.705415323
142	1.701498653
143	1.695254474
144	1.690745328
145	1.686154262
146	1.682477961
147	1.678545842
148	1.672942284
149	1.668797283
150	1.665261466
151	1.659114296
152	1.655161158
153	1.651103286
154	1.645575899
155	1.642190806
156	1.637454046
157	1.63397374
158	1.630386004
159	1.625912788
160	1.621116924
161	1.617597455
162	1.614404584
163	1.609648782
164	1.605834871
165	1.601439981
166	1.597044551
167	1.592905838
168	1.587587919
169	1.583321477
170	1.579052698
171	1.57644458
172	1.571199957
173	1.567790432
174	1.563940591
175	1.559877689
176	1.556453073
177	1.553374817
178	1.549801454
179	1.545886581
180	1.542188183
181	1.538585896
182	1.534275799
183	1.529455324
184	1.526253291
185	1.522802986
186	1.518868172
187	1.515702428
188	1.511459878
189	1.507862083
190	1.502992654
191	1.498984274
192	1.495138027
193	1.491582268
194	1.487289417
195	1.483580869
196	1.479388351
197	1.476076375
198	1.473187467
199	1.469028902
200	1.465567369
201	1.461367037
202	1.458170034
203	1.455807403
204	1.452272394
205	1.448813017
206	1.446134835
207	1.442481349
208	1.438678396
209	1.43541214
210	1.432558802
211	1.42883184
212	1.424316316
213	1.420978111
214	1.417636313
215	1.414304215
216	1.412281657
217	1.408776469
218	1.404390471
219	1.401327306
220	1.399439842
221	1.396222629
222	1.392862147
223	1.38999363
224	1.386770668
225	1.383243474
226	1.38042885
227	1.376071147
228	1.373180802
229	1.369823195
230	1.366854254
231	1.363786957
232	1.35954315
233	1.356524447
234	1.353932856
235	1.351870595
236	1.349163131
237	1.346228054
238	1.342574568
239	1.338682061
240	1.335066031
241	1.331872981
242	1.32921474
243	1.32622038
244	1.324063535
245	1.32038382
246	1.318124307
247	1.315981205
248	1.313744327
249	1.309928439
250	1.30701007
251	1.304971163
252	1.302982109
253	1.300515731
254	1.297527928
255	1.294326075
256	1.29195518
