iter	MultiClass
0	2.637198079
1	2.491416134
2	2.374069634
3	2.284049694
4	2.195463622
5	2.112476401
6	2.012215447
7	1.914996269
8	1.831982368
9	1.760501717
10	1.682043318
11	1.612928692
12	1.547890417
13	1.492815354
14	1.442514776
15	1.392667921
16	1.341117274
17	1.294679167
18	1.249934018
19	1.211716655
20	1.165777751
21	1.134916568
22	1.098933624
23	1.062495524
24	1.030716418
25	1.002295298
26	0.9706084052
27	0.9385085237
28	0.9096864113
29	0.8889802961
30	0.8646075057
31	0.8388947619
32	0.8165189647
33	0.7904434568
34	0.7688053636
35	0.74787646
36	0.726448129
37	0.7097258391
38	0.6937928209
39	0.6772333809
40	0.6603828433
41	0.6449702913
42	0.6299377374
43	0.6126127505
44	0.5970763824
45	0.5830642146
46	0.5685242841
47	0.552104596
48	0.5400142635
49	0.528097166
50	0.5173513079
51	0.5050965139
52	0.4913585678
53	0.4813114694
54	0.4704674447
55	0.4595261487
56	0.4488084022
57	0.4412263899
58	0.4318365552
59	0.4222041467
60	0.4132504885
61	0.4062734114
62	0.3980745568
63	0.3900060091
64	0.381584948
65	0.3729060711
66	0.3674632885
67	0.3613281921
68	0.3556326519
69	0.35105788
70	0.3452789004
71	0.339857291
72	0.3334862234
73	0.3284482827
74	0.3225275815
75	0.3172431501
76	0.3116111965
77	0.3059564135
78	0.3017100274
79	0.2964929428
80	0.2925651615
81	0.2869268291
82	0.2819582048
83	0.2785513374
84	0.2746462512
85	0.2706241755
86	0.2671114198
87	0.2633950346
88	0.2589026053
89	0.2548413838
90	0.2504827082
91	0.2464306408
92	0.243044969
93	0.2396354829
94	0.2354532206
95	0.2326364269
96	0.2302949106
97	0.2280895428
98	0.2254216551
99	0.2222619275
100	0.2190846078
101	0.2163842666
102	0.2141313598
103	0.2119564536
104	0.2092767708
105	0.2064811726
106	0.2040288888
107	0.2013456025
108	0.1988234203
109	0.1962330409
110	0.1933411786
111	0.1913911199
112	0.18884058
113	0.1868238348
114	0.185083169
115	0.1836016732
116	0.1819395898
117	0.1802024715
118	0.17815757
119	0.176534431
120	0.1747503669
121	0.1727660864
122	0.1716665695
123	0.1694587621
124	0.1681153172
125	0.1668649246
126	0.1653312456
127	0.1632580647
128	0.1616585944
129	0.1597790272
130	0.1580486682
131	0.1567620395
132	0.155331854
133	0.153782933
134	0.1520627689
135	0.1504224519
