iter	Passed	Remaining
0	49	39882
1	102	40706
2	155	41285
3	199	39685
4	238	37982
5	280	37133
6	331	37543
7	384	38107
8	437	38439
9	488	38627
10	541	38845
11	596	39191
12	648	39254
13	697	39150
14	744	38947
15	798	39102
16	851	39201
17	901	39174
18	953	39173
19	1003	39152
20	1056	39184
21	1103	39016
22	1153	38966
23	1205	38969
24	1257	38990
25	1307	38913
26	1359	38924
27	1411	38926
28	1463	38898
29	1506	38667
30	1553	38542
31	1611	38665
32	1664	38679
33	1723	38820
34	1779	38894
35	1828	38807
36	1880	38771
37	1928	38678
38	1979	38634
39	2030	38572
40	2089	38687
41	2145	38727
42	2197	38693
43	2250	38664
44	2300	38598
45	2348	38489
46	2398	38431
47	2449	38375
48	2499	38312
49	2549	38242
50	2597	38154
51	2649	38109
52	2701	38075
53	2745	37924
54	2796	37882
55	2847	37833
56	2899	37793
57	2943	37654
58	2988	37529
59	3038	37478
60	3088	37415
61	3136	37340
62	3187	37288
63	3238	37245
64	3290	37207
65	3335	37093
66	3380	36985
67	3422	36845
68	3464	36705
69	3508	36587
70	3555	36509
71	3597	36377
72	3644	36299
73	3690	36207
74	3731	36069
75	3775	35962
76	3823	35898
77	3874	35862
78	3916	35740
79	3966	35702
80	4009	35594
81	4059	35546
82	4108	35488
83	4147	35351
84	4192	35263
85	4234	35156
86	4281	35085
87	4329	35026
88	4378	34978
89	4428	34936
90	4475	34869
91	4519	34783
92	4567	34723
93	4616	34674
94	4666	34627
95	4705	34507
96	4750	34426
97	4791	34323
98	4833	34228
99	4877	34141
100	4922	34067
101	4964	33976
102	5008	33891
103	5048	33782
104	5096	33731
105	5142	33665
106	5186	33592
107	5234	33542
108	5280	33472
109	5324	33400
110	5369	33329
111	5411	33244
112	5460	33200
113	5505	33129
114	5546	33038
115	5587	32949
116	5627	32850
117	5671	32779
118	5713	32695
119	5752	32595
120	5802	32561
121	5845	32485
122	5890	32420
123	5942	32393
124	5982	32305
125	6022	32216
126	6068	32157
127	6114	32099
128	6155	32016
129	6197	31943
130	6240	31871
131	6279	31775
132	6316	31677
133	6357	31597
134	6398	31517
135	6443	31458
136	6489	31403
137	6527	31314
138	6568	31234
139	6611	31170
140	6651	31087
141	6691	31005
142	6733	30935
143	6775	30866
144	6820	30809
145	6867	30763
146	6908	30689
147	6950	30618
148	6984	30517
149	7026	30447
150	7067	30376
151	7105	30292
152	7148	30230
153	7191	30167
154	7230	30087
155	7276	30038
156	7319	29975
157	7357	29896
158	7396	29819
159	7432	29731
160	7477	29677
161	7517	29606
162	7556	29529
163	7596	29461
164	7638	29397
165	7680	29333
166	7726	29288
167	7773	29244
168	7813	29174
169	7850	29093
170	7888	29015
171	7933	28965
172	7969	28882
173	8009	28815
174	8044	28730
175	8085	28666
176	8124	28595
177	8161	28520
178	8199	28445
179	8240	28382
180	8277	28309
181	8323	28262
182	8364	28203
183	8408	28149
184	8447	28080
185	8489	28024
186	8527	27954
187	8567	27889
188	8606	27824
189	8650	27773
190	8694	27721
191	8733	27655
192	8774	27596
193	8810	27521
194	8850	27458
195	8888	27391
196	8931	27337
197	8975	27290
198	9019	27239
199	9059	27179
200	9102	27126
201	9144	27070
202	9185	27014
203	9226	26955
204	9266	26895
205	9311	26850
206	9354	26797
207	9394	26739
208	9439	26692
209	9481	26638
210	9522	26583
211	9567	26535
212	9606	26474
213	9647	26417
214	9684	26351
215	9725	26296
216	9766	26238
217	9806	26181
218	9853	26139
219	9895	26087
220	9934	26028
221	9976	25975
222	10016	25916
223	10054	25855
224	10096	25803
225	10137	25748
226	10176	25688
227	10216	25629
228	10254	25567
229	10292	25508
230	10336	25461
231	10374	25399
232	10415	25346
233	10457	25294
234	10498	25240
235	10535	25177
236	10572	25116
237	10614	25064
238	10651	25001
239	10692	24949
240	10730	24889
241	10769	24833
242	10811	24781
243	10850	24723
244	10886	24661
245	10925	24605
246	10967	24554
247	11004	24493
248	11041	24433
249	11080	24377
250	11119	24320
251	11157	24263
252	11191	24195
253	11229	24138
254	11267	24080
255	11309	24032
256	11346	23972
257	11386	23919
258	11423	23860
259	11459	23800
260	11502	23754
261	11541	23699
262	11582	23649
263	11618	23588
264	11653	23527
265	11691	23470
266	11729	23414
267	11768	23360
268	11808	23309
269	11848	23258
270	11889	23209
271	11936	23170
272	11979	23125
273	12021	23076
274	12061	23026
275	12101	22974
276	12139	22919
277	12179	22869
278	12217	22814
279	12253	22756
280	12290	22700
281	12329	22647
282	12366	22591
283	12404	22537
284	12442	22484
285	12480	22430
286	12525	22388
287	12566	22340
288	12606	22290
289	12645	22238
290	12685	22188
291	12724	22137
292	12762	22083
293	12804	22036
294	12843	21987
295	12881	21933
296	12916	21875
297	12954	21822
298	12993	21771
299	13037	21728
300	13077	21680
301	13122	21639
302	13161	21588
303	13203	21542
304	13240	21488
305	13277	21435
306	13316	21385
307	13355	21334
308	13399	21291
309	13437	21240
310	13475	21187
311	13514	21137
312	13553	21087
313	13591	21036
314	13631	20987
315	13669	20936
316	13707	20886
317	13745	20833
318	13781	20780
319	13826	20739
320	13868	20694
321	13909	20647
322	13947	20596
323	13985	20546
324	14024	20497
325	14066	20452
326	14104	20401
327	14141	20349
328	14177	20297
329	14212	20242
330	14250	20191
331	14290	20144
332	14329	20095
333	14367	20045
334	14405	19996
335	14442	19943
336	14482	19896
337	14521	19848
338	14559	19798
339	14599	19752
340	14634	19698
341	14671	19647
342	14710	19600
343	14750	19552
344	14791	19507
345	14828	19456
346	14865	19406
347	14903	19358
348	14941	19308
349	14982	19262
350	15020	19214
351	15065	19173
352	15105	19128
353	15145	19081
354	15183	19032
355	15220	18982
356	15263	18940
357	15298	18888
358	15340	18845
359	15380	18798
360	15418	18749
361	15454	18699
362	15493	18651
363	15530	18602
364	15570	18557
365	15610	18511
366	15648	18463
367	15688	18416
368	15725	18367
369	15765	18321
370	15807	18278
371	15843	18228
372	15882	18182
373	15920	18134
374	15959	18087
375	15994	18036
376	16030	17986
377	16067	17938
378	16106	17891
379	16142	17842
380	16185	17799
381	16223	17752
382	16261	17704
383	16297	17656
384	16336	17609
385	16376	17564
386	16413	17516
387	16447	17464
388	16485	17417
389	16524	17371
390	16569	17331
391	16609	17287
392	16652	17245
393	16687	17195
394	16724	17147
395	16766	17105
396	16802	17056
397	16843	17012
398	16881	16965
399	16920	16920
400	16959	16875
401	16999	16830
402	17036	16782
403	17080	16742
404	17115	16693
405	17155	16648
406	17195	16603
407	17236	16560
408	17276	16515
409	17316	16471
410	17354	16425
411	17397	16383
412	17435	16337
413	17471	16289
414	17509	16244
415	17546	16196
416	17583	16149
417	17619	16102
418	17658	16056
419	17692	16007
420	17733	15964
